sample_id,split,recalculated_score,risk_score,risk_percentile,diff
f038792d3863399fbae5,train,0.6077695247861009,0.60777,58.2,4.752138991204191e-07
25da44cdf0e6ea35fae2,train,0.6054677136143556,0.605468,55.3,2.863856444212942e-07
3ee66a6b0f2a36df5ce6,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
9be8da949bca8d36f779,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
b816c8167211a12ea353,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
9e3b725cbcfbc6dec639,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
a115f996f6adcb3fbd81,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
f450988997db9de28877,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
1d4d63a13de27225b0c2,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
1a3c8f7d5849cf147a29,train,0.17368931682302782,0.173689,0.4,3.168230278127737e-07
5ee2ba340f056e059d76,train,0.2540100780669836,0.25401,2.2,7.806698359980047e-08
728a4873084aa8a925db,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
2ee06915190cd8372c29,train,0.6077695247861009,0.60777,53.1,4.752138991204191e-07
bcf8f897007014b1c807,train,0.6091197144408445,0.60912,59.9,2.855591555439574e-07
9e64323f83438e7f9775,train,0.4245145880836704,0.424515,10.7,4.1191632960124736e-07
2a2ad1b56775a9cd2647,train,0.6054677136143556,0.605468,53.1,2.863856444212942e-07
147e1ee15698a5d87cf1,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
3b00a629241acd61ce79,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
f518682629c50105df22,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
4264cee39b88debc7b88,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
73741480b73c49bf92f5,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
20650b8db9a4c8a3d54b,train,0.6077695247861009,0.60777,55.7,4.752138991204191e-07
40fbbdfeff21a7800722,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
5fc2796267256d41d398,train,0.5356626400542556,0.535663,56.0,3.599457444325438e-07
4b3453917d1e416807d4,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
7b9ea518d182464b9032,train,0.6091197144408445,0.60912,59.9,2.855591555439574e-07
8416c1d9f6d897743f86,train,0.293607762643582,0.293608,3.7,2.3735641796474027e-07
