standard_code,standard_normalized,r_category,r_category_name,basis
19100269 L08 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L08 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L08 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L08 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L08 V D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L09,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L11,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 L12 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02 IV A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M02 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03    V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03    X,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03   VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03   XI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03  III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03  VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 M03 XIII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N02,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N04 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N05,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N06,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 N06 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O02    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O02 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O03 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O04 III B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O04 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O05 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O05 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O06 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 O06 II A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
